Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.19,-.26,-.10,-.17,-.11,-.22,-.19,-.11,-.15,-.24,-.23,-.18,-.18,***,***,-.13,-.17,-.21
1881,-.20,-.15,.03,.05,.05,-.19,.00,-.04,-.16,-.22,-.19,-.08,-.09,-.10,-.18,.04,-.08,-.19
1882,.16,.13,.04,-.16,-.14,-.23,-.17,-.08,-.15,-.24,-.17,-.37,-.12,-.09,.07,-.09,-.16,-.19
1883,-.30,-.37,-.13,-.19,-.18,-.07,-.08,-.14,-.22,-.11,-.25,-.12,-.18,-.20,-.34,-.16,-.10,-.19
1884,-.13,-.08,-.36,-.40,-.34,-.35,-.31,-.28,-.27,-.25,-.34,-.31,-.29,-.27,-.11,-.37,-.31,-.29
1885,-.59,-.34,-.27,-.42,-.46,-.44,-.34,-.32,-.29,-.24,-.25,-.11,-.34,-.36,-.41,-.38,-.37,-.26
1886,-.45,-.51,-.44,-.29,-.25,-.35,-.18,-.31,-.24,-.28,-.28,-.26,-.32,-.31,-.36,-.32,-.28,-.27
1887,-.72,-.57,-.36,-.35,-.31,-.25,-.26,-.36,-.26,-.36,-.26,-.34,-.37,-.36,-.52,-.34,-.29,-.29
1888,-.34,-.37,-.42,-.21,-.23,-.18,-.11,-.16,-.12,.01,.02,-.05,-.18,-.20,-.35,-.28,-.15,-.03
1889,-.10,.16,.05,.08,-.02,-.11,-.08,-.21,-.24,-.26,-.34,-.29,-.11,-.09,.00,.04,-.13,-.28
1890,-.43,-.46,-.41,-.30,-.40,-.25,-.29,-.40,-.37,-.26,-.45,-.32,-.36,-.36,-.39,-.37,-.31,-.36
1891,-.34,-.47,-.18,-.28,-.17,-.21,-.18,-.18,-.16,-.22,-.32,-.04,-.23,-.25,-.38,-.21,-.19,-.23
1892,-.30,-.12,-.40,-.34,-.23,-.22,-.32,-.27,-.17,-.14,-.43,-.40,-.28,-.25,-.15,-.33,-.27,-.25
1893,-.81,-.57,-.23,-.28,-.34,-.26,-.14,-.25,-.22,-.18,-.19,-.32,-.32,-.32,-.59,-.28,-.22,-.20
1894,-.53,-.30,-.24,-.45,-.32,-.41,-.24,-.24,-.28,-.23,-.26,-.21,-.31,-.32,-.38,-.34,-.30,-.26
1895,-.41,-.43,-.33,-.22,-.27,-.21,-.17,-.17,-.12,-.11,-.17,-.15,-.23,-.24,-.35,-.28,-.18,-.13
1896,-.23,-.13,-.27,-.31,-.16,-.12,-.03,-.06,-.08,.06,-.05,-.05,-.12,-.13,-.17,-.25,-.07,-.02
1897,-.16,-.17,-.14,-.03,-.02,-.12,-.03,-.10,-.09,-.13,-.19,-.21,-.12,-.10,-.13,-.07,-.09,-.14
