Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1938,-.19,-.22,-.16,-.20,-.22,-.28,-.18,-.21,-.15,-.04,-.18,-.14,-.18,-.18,-.19,-.19,-.22,-.13
1939,-.15,-.13,-.12,-.13,-.10,-.14,-.16,-.19,-.27,-.15,-.11,.09,-.13,-.15,-.14,-.12,-.16,-.17
1940,.11,.03,.16,.08,.07,.07,.10,.09,.07,-.03,.06,.29,.09,.07,.08,.10,.09,.03
1941,.19,.16,.10,.22,.13,.08,.21,.13,-.03,.22,.28,.25,.16,.16,.21,.15,.14,.16
1942,.18,.14,.11,.10,.06,.00,.00,.00,-.16,-.25,-.09,-.04,.00,.03,.19,.09,.00,-.17
1943,.06,-.05,-.08,-.11,-.10,-.04,.18,-.08,-.04,.00,.03,.08,-.01,-.02,-.01,-.10,.02,.00
1944,.08,.04,.21,.21,.14,.16,.23,.22,.21,.09,.03,.09,.14,.14,.07,.19,.20,.11
1945,.10,.08,.03,.10,.05,-.05,.02,.25,.22,.13,.07,.08,.09,.09,.09,.06,.07,.14
1946,-.03,-.03,-.08,-.21,-.17,-.37,-.21,-.31,-.12,-.17,-.18,-.15,-.17,-.15,.01,-.15,-.30,-.16
1947,-.08,-.12,-.16,-.11,-.10,-.04,-.06,-.10,-.24,-.26,-.15,-.22,-.14,-.13,-.12,-.12,-.06,-.22
1948,-.18,-.14,-.21,-.21,-.18,-.15,-.24,-.26,-.27,-.18,-.28,-.08,-.20,-.21,-.18,-.20,-.22,-.24
1949,-.10,-.19,-.08,-.19,-.20,-.34,-.15,-.21,-.19,-.20,-.25,-.23,-.20,-.18,-.13,-.16,-.24,-.22
1950,-.24,-.27,-.22,-.20,-.19,-.05,-.01,-.12,-.15,-.35,-.35,-.32,-.21,-.20,-.24,-.20,-.06,-.28
1951,-.34,-.32,-.22,-.35,-.18,-.11,-.10,-.10,-.21,-.11,-.09,-.06,-.18,-.20,-.33,-.25,-.10,-.14
1952,.07,.06,.07,-.10,-.19,-.22,-.05,.02,.00,.01,-.05,-.04,-.04,-.04,.02,-.08,-.08,-.01
1953,-.09,-.07,-.02,-.01,-.01,-.01,-.19,-.07,-.08,-.10,-.12,-.12,-.07,-.07,-.07,-.02,-.09,-.10
1954,-.24,-.19,-.13,-.27,-.33,-.34,-.29,-.34,-.28,-.18,-.20,-.27,-.25,-.24,-.18,-.24,-.32,-.22
1955,-.17,-.20,-.22,-.22,-.28,-.18,-.19,-.05,-.21,-.24,-.19,-.29,-.20,-.20,-.21,-.24,-.14,-.22
1956,-.23,-.18,-.19,-.30,-.29,-.12,.00,-.24,-.08,-.19,-.05,-.03,-.16,-.18,-.23,-.26,-.12,-.11
1957,-.04,-.02,.00,.09,.23,.18,-.07,.14,.05,-.04,.04,.06,.05,.04,-.03,.11,.08,.02
1958,.10,.16,.01,.01,.00,-.21,.05,-.22,-.12,.01,.02,-.15,-.03,-.01,.11,.01,-.13,-.03
1959,-.08,-.02,.02,.09,.04,-.08,.01,-.11,-.25,-.10,-.18,-.10,-.06,-.07,-.09,.05,-.06,-.18
1960,-.16,-.15,-.29,-.17,-.19,-.26,-.16,-.07,.02,.06,-.14,-.02,-.13,-.14,-.14,-.22,-.17,-.02
1961,-.03,.07,-.04,.12,.17,.05,-.04,-.04,.19,.03,-.01,-.16,.03,.04,.01,.09,-.01,.07
1962,-.18,-.07,-.10,-.13,-.14,.19,-.06,-.05,.03,-.10,.00,-.15,-.06,-.06,-.14,-.12,.03,-.03
