Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.37,-.52,-.24,-.31,-.07,-.17,-.20,-.28,-.25,-.33,-.44,-.41,-.30,***,***,-.21,-.21,-.34
1881,-.31,-.23,-.04,.00,.03,-.34,.07,-.05,-.27,-.44,-.37,-.24,-.18,-.20,-.32,-.01,-.11,-.36
1882,.26,.20,.02,-.30,-.24,-.29,-.28,-.17,-.26,-.52,-.34,-.69,-.22,-.18,.07,-.18,-.25,-.38
1883,-.58,-.66,-.16,-.30,-.25,-.11,-.06,-.23,-.34,-.16,-.45,-.15,-.29,-.33,-.64,-.23,-.14,-.32
1884,-.17,-.11,-.64,-.58,-.36,-.42,-.41,-.52,-.45,-.45,-.58,-.47,-.43,-.40,-.14,-.53,-.45,-.49
1885,-1.01,-.46,-.25,-.49,-.59,-.46,-.35,-.42,-.40,-.37,-.39,-.13,-.44,-.47,-.65,-.44,-.41,-.39
1886,-.75,-.85,-.72,-.38,-.35,-.39,-.15,-.44,-.34,-.32,-.41,-.22,-.44,-.43,-.58,-.48,-.32,-.36
1887,-1.09,-.71,-.44,-.39,-.26,-.22,-.25,-.56,-.22,-.49,-.27,-.43,-.44,-.42,-.67,-.36,-.34,-.32
1888,-.48,-.62,-.64,-.23,-.16,-.04,-.01,-.23,-.21,-.04,-.02,-.25,-.24,-.26,-.51,-.34,-.09,-.09
1889,-.29,.28,-.03,.15,-.05,-.08,-.09,-.22,-.31,-.42,-.62,-.55,-.18,-.16,-.08,.02,-.13,-.45
1890,-.65,-.59,-.48,-.25,-.36,-.17,-.25,-.41,-.36,-.11,-.65,-.48,-.40,-.40,-.59,-.37,-.27,-.37
1891,-.47,-.67,-.16,-.36,-.16,-.14,-.13,-.13,-.08,-.28,-.53,-.03,-.26,-.30,-.54,-.23,-.13,-.30
1892,-.50,-.19,-.67,-.45,-.23,-.06,-.38,-.34,-.21,-.27,-.83,-.68,-.40,-.35,-.24,-.45,-.26,-.44
1893,-1.51,-.97,-.33,-.31,-.44,-.18,-.14,-.35,-.29,-.28,-.34,-.61,-.48,-.48,-1.05,-.36,-.22,-.30
1894,-.92,-.43,-.22,-.54,-.27,-.42,-.21,-.27,-.33,-.28,-.48,-.36,-.39,-.41,-.65,-.34,-.30,-.36
1895,-.70,-.80,-.50,-.19,-.30,-.21,-.19,-.28,-.06,-.09,-.13,-.23,-.31,-.32,-.62,-.33,-.22,-.09
1896,-.37,-.19,-.50,-.61,-.17,.07,-.01,-.12,-.13,.04,-.21,-.22,-.20,-.20,-.26,-.43,-.02,-.10
1897,-.40,-.42,-.40,-.06,.13,-.08,.03,-.07,-.07,-.16,-.26,-.29,-.17,-.16,-.35,-.11,-.04,-.16
1898,.04,-.45,-.80,-.29,-.28,-.09,-.12,-.18,-.18,-.37,-.52,-.27,-.29,-.30,-.23,-.46,-.13,-.36
1899,-.13,-.64,-.59,-.23,-.25,-.36,-.17,-.07,-.05,.04,.35,-.47,-.21,-.20,-.35,-.35,-.20,.11
1900,-.63,-.14,.05,-.11,-.04,-.11,-.12,-.08,-.03,.23,-.12,-.03,-.09,-.13,-.41,-.03,-.10,.03
1901,-.34,-.10,.27,.10,-.11,.01,.01,-.16,-.28,-.32,-.20,-.40,-.12,-.09,-.16,.09,-.04,-.26
1902,-.14,-.03,-.37,-.38,-.40,-.40,-.34,-.30,-.34,-.32,-.48,-.61,-.34,-.32,-.19,-.38,-.34,-.38
1903,-.24,.10,-.17,-.47,-.44,-.46,-.43,-.56,-.49,-.46,-.41,-.57,-.38,-.39,-.25,-.36,-.48,-.45
1904,-.77,-.61,-.46,-.51,-.44,-.49,-.59,-.55,-.64,-.39,-.09,-.35,-.49,-.51,-.65,-.47,-.54,-.37
1905,-.42,-.82,-.23,-.46,-.29,-.28,-.22,-.24,-.19,-.27,.09,-.17,-.29,-.31,-.53,-.33,-.24,-.12
1906,-.56,-.53,-.20,.04,-.25,-.11,-.26,-.17,-.24,-.17,-.40,.03,-.23,-.25,-.42,-.14,-.18,-.27
1907,-.58,-.72,-.30,-.45,-.58,-.51,-.40,-.39,-.40,-.19,-.55,-.57,-.47,-.42,-.42,-.44,-.43,-.38
1908,-.55,-.28,-.70,-.48,-.30,-.31,-.36,-.58,-.31,-.45,-.63,-.56,-.46,-.46,-.46,-.49,-.42,-.46
1909,-.95,-.46,-.68,-.66,-.50,-.52,-.45,-.36,-.38,-.33,-.12,-.57,-.50,-.50,-.65,-.61,-.44,-.28
1910,-.36,-.38,-.50,-.41,-.31,-.46,-.39,-.41,-.43,-.31,-.62,-.82,-.45,-.43,-.44,-.41,-.42,-.45
1911,-.70,-.60,-.63,-.47,-.46,-.35,-.39,-.44,-.39,-.19,-.21,-.31,-.43,-.47,-.71,-.52,-.39,-.26
1912,-.37,-.18,-.62,-.17,-.14,-.15,-.53,-.78,-.81,-.85,-.52,-.58,-.48,-.45,-.29,-.31,-.49,-.73
1913,-.57,-.65,-.48,-.51,-.56,-.50,-.53,-.47,-.43,-.40,-.15,.10,-.43,-.49,-.60,-.52,-.50,-.33
1914,.16,-.11,-.36,-.39,-.19,-.24,-.35,-.29,-.31,-.01,-.23,-.06,-.20,-.18,.05,-.32,-.29,-.18
1915,-.27,-.09,-.24,.07,-.01,-.13,-.10,-.16,-.21,-.27,-.04,-.24,-.14,-.13,-.14,-.06,-.13,-.17
1916,-.10,-.17,-.40,-.35,-.38,-.52,-.34,-.38,-.49,-.35,-.47,-1.13,-.42,-.35,-.17,-.38,-.41,-.44
1917,-.53,-.69,-.75,-.65,-.74,-.49,-.33,-.41,-.31,-.63,-.32,-1.06,-.58,-.58,-.78,-.71,-.41,-.42
1918,-.70,-.47,-.27,-.60,-.50,-.46,-.35,-.37,-.25,-.05,-.23,-.56,-.40,-.44,-.75,-.45,-.39,-.18
1919,-.38,-.40,-.38,-.24,-.42,-.39,-.34,-.31,-.19,-.09,-.48,-.56,-.35,-.35,-.45,-.35,-.35,-.25
1920,-.16,-.29,.00,-.21,-.21,-.26,-.26,-.32,-.35,-.40,-.46,-.72,-.30,-.29,-.34,-.14,-.28,-.40
1921,.18,-.09,-.11,-.17,-.24,-.15,-.03,-.30,-.18,.00,-.11,-.13,-.11,-.16,-.21,-.17,-.16,-.09
1922,-.39,-.63,-.11,-.16,-.18,-.15,-.28,-.37,-.42,-.30,-.12,-.16,-.27,-.27,-.38,-.15,-.27,-.28
1923,-.17,-.47,-.39,-.53,-.39,-.25,-.30,-.29,-.17,.07,.16,.11,-.22,-.24,-.26,-.43,-.28,.02
1924,-.27,-.19,.03,-.26,-.06,-.20,-.22,-.27,-.22,-.23,.12,-.36,-.18,-.14,-.12,-.10,-.23,-.11
1925,-.27,-.36,-.22,-.16,-.22,-.26,-.26,-.21,-.05,-.09,.23,.23,-.14,-.19,-.33,-.20,-.24,.03
